track,disc,title,artist,date,url,ll-fans
35,4,SENTIMENTAL StepS,μ's,2014-05-28,https://www.youtube.com/watch?v=MHM_CYyC3FA,70
36,4,Love wing bell,星空 凛、西木野真姫、小泉花陽、絢瀬絵里、東條 希、矢澤にこ,2014-06-11,https://www.youtube.com/watch?v=vI6QIoisuq0,71
37,4,Dancing stars on me!,μ's,2014-06-11,https://www.youtube.com/watch?v=PBeKaFMS6nY,72
38,4,KiRa-KiRa Sensation!,μ's,2014-07-09,https://www.youtube.com/watch?v=-VVzcmgrPpg,74
39,4,Happy maker!,μ's,2014-07-09,https://www.youtube.com/watch?v=ULMS2CXjqGs,75
40,5,シアワセ行きのSMILING!,高坂穂乃果,2014-06-20,https://www.youtube.com/watch?v=yntUCgeBGZ0,73
41,5,ずるいよMagnetic today,西木野真姫、矢澤にこ,2014-07-25,https://www.youtube.com/watch?v=9U8PPIeFD1w,76
42,5,くるりんMIRACLE,星空 凛,2014-08-27,https://www.youtube.com/watch?v=KkHZxuj-M2c,79
43,5,Storm in Lover,絢瀬絵里、園田海未,2014-09-24,https://www.youtube.com/watch?v=7W1QaMBLHls,80
44,5,もしもからきっと,東條 希,2014-10-29,https://www.youtube.com/watch?v=ZyHn2VMITfM,83
45,5,好きですが好きですか？,南ことり、小泉花陽,2014-11-21,https://www.youtube.com/watch?v=oygW9_dMYnY,86
46,5,そして最後のページには,μ's,2014-12-25,https://www.youtube.com/watch?v=VvIesOU_714,91
47,6,タカラモノズ,μ's,2014-01-29,https://www.youtube.com/watch?v=YmqBJKuNamY,62
48,6,Paradise Live,μ's,2014-01-29,https://www.youtube.com/watch?v=kYJHzstbQiw,63
49,6,Shangri-La Shower,μ's,2014-10-01,https://www.youtube.com/watch?v=0w8avFgPoSE,81
50,6,るてしキスキしてる,μ's,2014-10-01,https://www.youtube.com/watch?v=C1rpyXG9a28,82
51,6,ミはμ'sicのミ,μ's,2015-04-22,https://www.youtube.com/watch?v=q52WWd94YEY,96
52,6,Super LOVE=Super LIVE!,μ's,2015-04-22,https://www.youtube.com/watch?v=eBm1-qOja9A,97
53,6,HEART to HEART!,μ's,2015-10-28,https://www.youtube.com/watch?v=pFZYz_qn-co,107
54,6,嵐のなかの恋だから,μ's,2015-10-28,https://www.youtube.com/watch?v=SpXdy3UUe2s,108
55,6,ENDLESS PARADE,μ's,2014-01-29,https://www.youtube.com/watch?v=6MCHwN8GmaA,64
56,6,Dreamin' Go! Go!!,μ's,2015-01-14,https://www.youtube.com/watch?v=5JDC7WXdwFA,95
57,7,Love marginal,Printemps,2011-05-25,https://www.youtube.com/watch?v=0yrU8z6bGGg,5
58,7,sweet&sweet holiday,Printemps,2011-05-25,https://www.youtube.com/watch?v=ZwM5JMglwx0,6
59,7,Pure girls project,Printemps,2013-08-21,https://www.youtube.com/watch?v=TTraARQlyD8,55
60,7,UNBALANCED LOVE,Printemps,2013-08-21,https://www.youtube.com/watch?v=hfV66t9KoJA,56
61,7,永遠フレンズ,Printemps,2014-11-12,https://www.youtube.com/watch?v=o_aNwSxti88,84
62,7,小夜啼鳥恋詩,Printemps,2014-11-12,https://www.youtube.com/watch?v=CkeblSrHSXw,85
63,7,WAO-WAO Powerful day!,Printemps,2015-11-25,https://www.youtube.com/watch?v=451oL6lI_Bo,109
64,7,NO EXIT ORION,Printemps,2015-11-25,https://www.youtube.com/watch?v=PCSnu1WVzuw,110
65,7,ぷわぷわーお!,Printemps,2013-09-25,https://www.youtube.com/watch?v=yRqN8_FOHjI,59
66,7,CheerDay CheerGirl!,Printemps,2014-12-25,https://www.youtube.com/watch?v=if-c2HOoBnw,92
67,7,MUSEUMでどうしたい？,Printemps,2015-05-23,https://www.youtube.com/watch?v=asU33AscyFM,98
68,8,ダイヤモンドプリンセスの憂鬱,BiBi,2011-06-22,https://www.youtube.com/watch?v=Ptja6yej7s4,7
69,8,ラブノベルス,BiBi,2011-06-22,https://www.youtube.com/watch?v=osKlSVYbb28,8
70,8,Cutie Panther,BiBi,2013-07-24,https://www.youtube.com/watch?v=NXNfMwUR-w4,52
71,8,夏、終わらないで。,BiBi,2013-07-24,https://www.youtube.com/watch?v=4K7_eD4EedQ,53
72,8,冬がくれた予感,BiBi,2014-12-24,https://www.youtube.com/watch?v=QJXmBU-Pajc,89
73,8,Trouble Busters,BiBi,2014-12-24,https://www.youtube.com/watch?v=mQvWniRXXPs,90
74,8,錯覚CROSSROADS,BiBi,2016-01-20,https://www.youtube.com/watch?v=MkMfmktnN5c,114
75,8,PSYCHIC FIRE,BiBi,2016-01-20,https://www.youtube.com/watch?v=zHuJijck8dY,115
76,8,Silent tonight,BiBi,2014-12-25,https://www.youtube.com/watch?v=zAFyJXBbGQQ,94
77,8,最低で最高のParadiso,BiBi,2015-05-23,https://www.youtube.com/watch?v=Pw5eVaCzA9c,99
78,9,知らないLove*教えてLove,lily white,2011-07-27,https://www.youtube.com/watch?v=f2oroXbhPaI,9
79,9,あ・の・ね・が・ん・ば・れ！,lily white,2011-07-27,https://www.youtube.com/watch?v=8EjUGoY8DjA,10
80,9,微熱からMystery,lily white,2013-06-26,https://www.youtube.com/watch?v=QUTZwSodwJc,50
81,9,キミのくせに！,lily white,2013-06-26,https://www.youtube.com/watch?v=0UWu1ws6bos,51
82,9,秋のあなたの空遠く,lily white,2014-11-26,https://www.youtube.com/watch?v=T_pwUsDtd1s,87
83,9,ふたりハピネス,lily white,2014-11-26,https://www.youtube.com/watch?v=zZ7kRTD1EX4,88
84,9,思い出以上になりたくて,lily white,2015-12-23,https://www.youtube.com/watch?v=7z_Hc6icSNc,112
85,9,春情ロマンティック,lily white,2015-12-23,https://www.youtube.com/watch?v=ORZtKVpwlG0,113
86,9,同じ星が見たい,lily white,2014-12-25,https://www.youtube.com/watch?v=OfZv_nOXTkY,93
87,9,乙姫心で恋宮殿,lily white,2015-05-23,https://www.youtube.com/watch?v=4wq7yB3dNow,100
88,10,Mermaid festa vol.2 ～Passionate～,高坂穂乃果、星空 凛,2012-04-25,https://www.youtube.com/watch?v=WW97E1XfIjw,19
89,10,Someday of my life,高坂穂乃果,2012-04-25,https://www.youtube.com/watch?v=R6FQ3Dwkez0,20
90,10,恋のシグナルRin rin rin!,星空 凛,2012-04-25,https://www.youtube.com/watch?v=Pn_Tr9H915A,21
91,10,乙女式れんあい塾,東條 希、矢澤にこ,2012-05-23,https://www.youtube.com/watch?v=cU_CYqNkGT4,22
92,10,まほうつかいはじめました！,矢澤にこ,2012-05-23,https://www.youtube.com/watch?v=O2OKMwLnNvQ,23
93,10,純愛レンズ,東條 希,2012-05-23,https://www.youtube.com/watch?v=1rCV_Wivh_E,24
94,10,告白日和、です！,南ことり、小泉花陽,2012-06-27,https://www.youtube.com/watch?v=l-B3aDlI-co,25
95,10,ぶる～べりぃ♡とれいん,南ことり,2012-06-27,https://www.youtube.com/watch?v=L8JfI5aJoVg,26
96,10,孤独なHeaven,小泉花陽,2012-06-27,https://www.youtube.com/watch?v=xUPcrYKe-JE,27
97,11,soldier game,西木野真姫、園田海未、絢瀬絵里,2012-07-25,https://www.youtube.com/watch?v=Ot2LMV0d1Ac,28
98,11,Daring!!,西木野真姫,2012-07-25,https://www.youtube.com/watch?v=L2wfRqjHW3Y,29
99,11,勇気のReason,園田海未,2012-07-25,https://www.youtube.com/watch?v=PGuTNtOdN_E,30
100,11,ありふれた悲しみの果て,絢瀬絵里,2012-07-25,https://www.youtube.com/watch?v=NncyZQuAnvM,31
101,11,愛は太陽じゃない？,高坂穂乃果,2012-01-25,https://www.youtube.com/watch?v=K6N2oSClFus,15
102,11,もうひとりじゃないよ,高坂穂乃果,2012-01-25,https://www.youtube.com/watch?v=iMGkGzAN31c,16
103,11,スピカテリブル,南ことり,2011-12-14,https://www.youtube.com/watch?v=dyNG275vqfs,14
104,11,私たちは未来の花,園田海未,2011-11-23,https://www.youtube.com/watch?v=C14xftSCLCA,13
105,11,Listen to my heart!!,にこりんぱな,2012-10-17,https://www.youtube.com/watch?v=0kivo9WZ72g,34
106,11,after school NAVIGATORS,にこりんぱな,2012-10-17,https://www.youtube.com/watch?v=zMipXg-4LE4,35
107,12,Angelic Angel,μ's,2015-07-01,https://www.youtube.com/watch?v=_9FhBDS4Kdw,101
108,12,"Hello,星を数えて",星空 凛、西木野真姫、小泉花陽,2015-07-01,https://www.youtube.com/watch?v=xKzzAV63r3w,102
109,12,SUNNY DAY SONG,μ's,2015-07-08,https://www.youtube.com/watch?v=5pG3aTCgnmA,103
110,12,SUNNY DAY SONG (Movie Edit),μ's,2015-07-08,https://www.youtube.com/watch?v=B0Bu63nmArQ,103
111,12,？←HEARTBEAT,絢瀬絵里、東條 希、矢澤にこ,2015-07-08,https://www.youtube.com/watch?v=KJEnC-oqiTg,104
112,12,僕たちはひとつの光,μ's,2015-07-15,https://www.youtube.com/watch?v=RcYtUeu4EqQ,105
113,12,Future style,高坂穂乃果、南ことり、園田海未,2015-07-15,https://www.youtube.com/watch?v=LdwEicog-3g,106
114,12,これから,μ's,2015-12-15,https://www.youtube.com/watch?v=Pmold6wxrfA,111
115,12,MOMENT RING,μ's,2016-03-02,https://www.youtube.com/watch?v=Y8H_WPQjUNc,116
116,12,さようならへさよなら！,μ's,2016-03-02,https://www.youtube.com/watch?v=UHLoMv80BCg,117
117,13,A song for You! You? You!!,μ's,2020-03-25,https://www.youtube.com/watch?v=yCz_vEmTHFQ,118
118,13,なってしまった！,μ's,2020-03-25,https://www.youtube.com/watch?v=cB6JNen6HPI,119
